Main_transportation;Distance;Licence;Car_owner;Energy;Frequency_usage;Seniority_car;Budget_car;Quiet;Speed;Robustness;Autonomy;Design;Technology;Ecology;Gender;Location;Age;Income;Purchase_car
Metro/Bus;50;Yes;No;I don't use a car;0;0;15000;4;4;5;4;5;5;5;Female;City;25;8500;No
Metro/Bus;50;No;No;I don't use a car;0;0;15000;3;3;5;5;5;5;5;Female;City;25;23500;Yes
Bike/Trotitinette/Roller;5;Yes;Yes;Petrol;3;4;25000;4;3;5;5;4;3;4;Female;Countryside;25;8500;Yes
Bike/Trotitinette/Roller;5;Yes;No;I don't use a car;0;0;15000;4;3;5;3;4;4;4;Female;City;25;8500;Yes
Car;5;Yes;Yes;Petrol;4;4;15000;4;3;4;4;3;4;4;Male;City;25;8500;Yes
Metro/Bus;20;Yes;Yes;Diesel;3;6;25000;4;4;4;4;5;5;5;Female;City;25;23500;Yes
Bike/Trotitinette/Roller;5;Yes;Yes;Petrol;0.5;6;25000;2;5;4;5;2;3;4;Female;City;25;8500;Yes
Bike/Trotitinette/Roller;5;Yes;Yes;Petrol;0.5;4;15000;5;4;5;5;5;5;5;Male;City;25;60000;Yes
Car;5;Yes;Yes;Petrol;7;2;5000;4;3;5;5;4;4;5;Female;City;25;37500;Yes
Car;5;Yes;Yes;Petrol;7;2;5000;4;3;5;5;4;4;5;Female;City;25;37500;Yes
Metro/Bus;20;Yes;No;I don't use a car;0;0;25000;5;5;5;5;5;5;4;Male;Countryside;25;37500;Yes
Metro/Bus;20;Yes;No;I don't use a car;0;0;25000;5;5;5;5;5;5;4;Male;Countryside;25;37500;Yes
Bike/Trotitinette/Roller;20;Yes;Yes;Petrol;1;4;35000;5;4;5;5;5;5;4;Female;City;35;37500;No
Bike/Trotitinette/Roller;50;Yes;Yes;Electric;4;4;25000;5;3;4;5;5;5;5;Male;City;35;52500;Yes
Car;50;Yes;Yes;Electric;7;2;5000;3;4;5;5;5;5;2;Female;City;25;23500;Yes
Metro/Bus;20;Yes;Yes;Petrol;0.5;4;35000;2;1;5;1;5;5;3;Female;City;25;8500;Yes
Car;50;Yes;Yes;Electric;7;2;5000;3;4;5;5;5;5;2;Female;City;25;23500;Yes
Car;20;Yes;Yes;Petrol;7;2;15000;4;5;5;3;5;5;3;Female;City;25;37500;Yes
Metro/Bus;5;Yes;No;I don't use a car;7;0;35000;5;4;3;1;5;5;3;Female;City;25;8500;Yes
Car;50;Yes;Yes;Diesel;4;6;35000;5;4;5;4;5;3;5;Female;City;25;37500;Yes
Car;50;Yes;Yes;Diesel;4;6;35000;5;4;5;4;5;3;5;Female;City;25;37500;Yes
Walk;5;Yes;Yes;Hybrid;1;2;15000;4;3;4;4;3;5;3;Male;Countryside;35;52500;No
Walk;5;Yes;Yes;Hybrid;1;2;15000;4;3;4;4;3;5;3;Male;Countryside;35;52500;No
Walk;5;Yes;Yes;Hybrid;1;2;15000;4;3;4;4;3;5;3;Male;Countryside;35;52500;No
Car;5;Yes;Yes;Petrol;7;1;15000;5;3;4;3;4;5;3;Male;City;18;8500;Yes
Bike/Trotitinette/Roller;5;Yes;Yes;Petrol;3;4;15000;2;5;5;5;4;4;5;Male;City;35;37500;Yes
Metro/Bus;20;Yes;No;I don't use a car;0;0;5000;4;4;1;1;4;4;4;Female;City;25;8500;No
Metro/Bus;5;Yes;Yes;Hybrid;0.5;6;25000;4;4;5;5;4;4;5;Male;City;25;37500;No
Metro/Bus;5;No;No;I don't use a car;0;0;25000;5;3;5;5;3;5;5;Male;City;25;8500;Yes
Metro/Bus;5;No;No;I don't use a car;0;0;25000;4;3;4;5;4;4;4;Female;City;25;8500;No
Car;20;Yes;Yes;Petrol;4;6;45000;5;5;5;5;5;5;5;Female;City;35;37500;Yes
Car;20;Yes;No;Petrol;3;0;15000;5;5;5;4;4;4;4;Female;City;25;8500;Yes
Walk;5;Yes;Yes;Electric;3;2;5000;4;5;5;3;5;4;4;Female;City;25;37500;Yes
Walk;50;No;No;I don't use a car;0;0;5000;4;4;5;5;5;4;5;Female;City;25;8500;Yes
Car;20;Yes;Yes;Petrol;4;1;15000;2;4;4;4;5;4;3;Female;City;25;23500;No
Walk;5;No;No;I don't use a car;0;0;35000;3;5;5;2;5;3;5;Female;City;25;8500;Yes
Metro/Bus;50;No;No;I don't use a car;0;0;5000;3;4;3;3;3;4;4;Female;City;25;8500;Yes
Car;5;Yes;No;Petrol;0;0;25000;4;3;5;5;3;3;3;Female;City;25;8500;No
Car;5;Yes;No;Petrol;0;0;25000;4;3;3;4;3;4;3;Female;City;25;8500;No
Metro/Bus;5;Yes;No;I don't use a car;0;0;15000;5;4;3;5;5;5;5;Female;City;25;8500;Yes
Car;5;Yes;No;I don't use a car;0;0;25000;1;2;2;1;2;1;1;Male;Countryside;35;8500;No
Car;5;Yes;No;I don't use a car;0;0;25000;1;2;2;1;2;1;1;Male;Countryside;35;8500;No
Car;5;Yes;No;I don't use a car;0;0;25000;1;2;2;1;2;1;1;Male;Countryside;35;8500;No
Metro/Bus;20;Yes;Yes;Hybrid;1;2;25000;5;5;5;4;5;5;5;Male;City;35;23500;Yes
